date,category,QSame,number,linMean,linSD,lin95Low,lin95Hi
1916,Family,False,1.0,21.5548117702,51.2839123004,-45.2634096647,123.100027616
1916,Fantasy,False,1.0,26.0062058485,52.5043451379,-45.3081836747,126.447464942
1916,Musical,False,1.0,24.1417050474,50.694038002,-45.7479559945,122.677532037
1916,Mystery,False,1.0,2.44398263674,29.8940692922,-41.9662569486,62.4394137191
1916,Sci-Fi,False,1.0,12.508593748,42.2921242242,-45.5714174311,97.4791169618
1916,History,False,2.0,3.62055922152,33.9107840991,-44.9493535582,70.420991286
1916,Horror,False,2.0,28.4415404147,52.0533285434,-44.2853369142,134.615293982
1916,Action,False,4.0,350.23937774,237.384145659,18.7712613455,831.894633361
1916,Crime,False,6.0,4.31319471774,28.6053102129,-39.8423875905,61.6128369854
1916,Adventure,False,8.0,100.112900651,59.9284113066,1.1236792484,221.201331903
